zhat,log,k_0,k_1,k_2,k_3,k_4
2.0,22.37604131261649,1.875176611060275e-11,0.0,0.9999999983527478,5.364874757160687e-10,1.0920120429784733e-09
2.0,24.187974103624114,8.071766379720171e-12,0.0,0.9999999991316268,2.73009469494883e-10,5.872908679892217e-10
2.0,22.064921698605122,7.589745283300674e-11,0.0,0.9999999981213161,8.235828224674533e-10,9.79202613231586e-10
2.0,22.16865284899428,1.7021482439664888e-12,0.0,0.9999999964819702,1.7079999874865484e-10,3.3455265803960154e-09
2.0,18.00994858427759,7.996735225482005e-11,0.0,0.9999999950939144,1.4216255018810941e-09,3.4044919364164427e-09
2.0,17.158398508614216,3.0556521436975494e-11,0.0,0.9999999810704777,2.0142448001814732e-09,1.6884720143522522e-08
2.0,17.469969782261163,7.556594776555846e-11,0.0,0.9999999524121712,7.975565888117589e-09,3.953669610155992e-08
2.0,14.119630927975496,1.0610604240248889e-08,0.0,0.9999996603214303,1.7793341152411817e-07,1.5113455318569316e-07
2.0,13.767791845747029,1.0433733718110119e-09,0.0,0.9999998285996777,5.340627263515359e-08,1.169506754712318e-07
2.0,14.504236106679214,3.941105415559526e-10,0.0,0.9999999387922442,2.67241335128462e-08,3.408951072682204e-08
2.0,18.009960803608728,1.0417394337859146e-10,0.0,0.9999999764433095,1.063889525085937e-08,1.2813620317217456e-08
2.0,18.433685304638086,5.7274260829978e-10,0.0,0.9999999170131838,4.499940588854981e-08,3.741466690361741e-08
2.0,16.534625941117337,8.87796618673798e-10,0.0,0.9999998547893687,7.519304063638335e-08,6.91297931428389e-08
2.0,16.365784332094723,5.510322816691049e-10,0.0,0.9999999597919712,2.4098369958246828e-08,1.5558625659857648e-08
2.0,20.690441099129515,9.697733211769051e-12,0.0,0.9999999855980309,1.5032488613645534e-09,1.2889021477368438e-08
2.0,22.59964716614725,3.5799376337368824e-12,0.0,0.9999999936770904,5.230644987989672e-10,5.79626417844923e-09
2.0,24.20108383899102,2.3142701988952273e-12,0.0,0.9999999986532196,2.0334936776962544e-10,1.1411156949787417e-09
2.0,22.83163715222479,2.7728343442383634e-11,0.0,0.9999999967219876,7.411238977063392e-10,2.5091593956277093e-09
2.0,22.73248831276278,3.853923868775552e-12,0.0,0.9999999949479365,4.2595880226038e-10,4.622250256772955e-09
2.0,23.452272617523533,4.3038272105396864e-12,0.0,0.9999999910249926,6.607814406656663e-10,8.309921391814083e-09
2.0,22.924231098009326,4.652423791817283e-11,0.0,0.9999999965209878,1.3855460890327552e-09,2.046941089305904e-09
2.0,25.444887802447433,1.4375027649213589e-12,0.0,0.9999999992546761,1.3070386157645395e-10,6.131818052985188e-10
2.0,23.5778536639728,5.419690850732327e-12,0.0,0.9999999973284845,5.68931952343402e-10,2.097162976939269e-09
2.0,22.18744784195533,2.6814248362276602e-11,0.0,0.9999999901949855,2.3946339365001316e-09,7.383565425149327e-09
2.0,17.06277201255033,3.690859103645026e-10,0.0,0.9999910230479423,1.8726141393240467e-07,8.789321557097269e-06
2.0,16.648501022552328,4.511539192017002e-10,0.0,0.999989678787115,2.3875403008250387e-07,1.0082007700482017e-05
2.0,20.705120731960196,2.8923542815834924e-11,0.0,0.9999999291438502,5.300439572657692e-09,6.552678632639487e-08
2.0,21.05475039878767,1.770181398132557e-10,0.0,0.9999999844811521,6.365718647735701e-09,8.976110677158659e-09
2.0,18.468044716836975,2.24023916636752e-08,0.0,0.9999996333288186,1.7367181493158267e-07,1.705969742958182e-07
2.0,19.262470074162202,1.53305601209787e-08,0.0,0.9999997304847076,1.2415877102696517e-07,1.3002596065087083e-07
2.0,24.492568103344286,3.3389539842263668e-12,0.0,0.9999999971454603,3.7231499742330434e-10,2.4788850193258905e-09
2.0,24.413672880548756,3.3709389983144426e-12,0.0,0.9999999970146974,4.0707269626421754e-10,2.574858344618848e-09
2.0,25.036541915428906,1.7698841007252644e-12,0.0,0.9999999977149719,2.5870120603827466e-10,2.0245563959131756e-09
2.0,22.735683970094456,2.0402496741648753e-12,0.0,0.9999999378006817,9.831784726829863e-10,6.121409901964481e-08
2.0,22.735677250558247,2.040218558518579e-12,0.0,0.9999999378010616,9.83242443727408e-10,6.12136552697519e-08
2.0,25.069888558209243,1.8069920526814907e-12,0.0,0.9999999982459542,2.071811842444202e-10,1.5450570265582277e-09
2.0,24.69047054935934,1.1958707858577251e-11,0.0,0.9999999986030158,3.9645639609314587e-10,9.885685452075227e-10
2.0,23.837026760486605,1.3703810852023434e-12,0.0,0.9999999995784039,7.287096125584189e-11,3.4735427757715555e-10
2.0,23.83702692890198,1.3703910047508155e-12,0.0,0.999999999578405,7.287024799716725e-11,3.473538215752456e-10
2.0,24.0198546983168,1.3914108382657222e-11,0.0,0.9999999987939145,3.24390948615832e-10,8.677798930302244e-10
2.0,22.265446243596003,2.4382875138664235e-12,0.0,0.9999999077991572,1.081504107767552e-09,9.1116899819119e-08
2.0,25.593395202269587,2.136829780910462e-12,0.0,0.9999999987099517,2.248456984151753e-10,1.0630649069140799e-09
2.0,25.110462053869675,3.2038676334309503e-12,0.0,0.9999999980740061,3.5116564013498864e-10,1.5716235153099934e-09
2.0,25.110461964407566,3.2041167750632244e-12,0.0,0.9999999980738802,3.51242362086225e-10,1.571672180152414e-09
2.0,23.36441117447882,3.4877655830672843e-11,0.0,0.9999999947450704,2.009243821644754e-09,3.2108070187117294e-09
2.0,24.17475921094818,8.425628830546015e-13,0.0,0.9999999957071072,2.2841270568497632e-10,4.063636503612639e-09
2.0,25.46422633491904,1.8454887117548004e-12,0.0,0.9999999993292759,1.4515950181853545e-10,5.237181441156945e-10
2.0,25.365543055375657,2.6053135290570216e-12,0.0,0.999999999280546,1.5317759228288774e-10,5.636701757784956e-10
2.0,21.602507025239838,1.3306301729118785e-11,0.0,0.9999999568009011,2.0051756226143405e-09,4.11806159619224e-08
2.0,18.807408414231006,8.913380049854063e-11,0.0,0.9999994044925603,2.193098309756725e-08,5.734873217688986e-07
2.0,19.68465642002142,5.190558918219352e-11,0.0,0.9999996020088251,1.3387252079858624e-08,3.8455201640065076e-07
2.0,20.836064165289084,2.1475933847802126e-11,0.0,0.9999999546091765,4.939897091998794e-09,4.042944965236223e-08
2.0,22.214878182272255,3.2560708102413914e-11,0.0,0.9999999920777567,2.40202902794887e-09,5.487652768398769e-09
2.0,20.362272900951165,7.857860184496098e-11,0.0,0.9999999844944295,5.40310789499911e-09,1.0023883236603914e-08
2.0,20.687235842274372,8.819533362821461e-09,0.0,0.9999999329367265,4.1747912012325034e-08,1.6495827516236103e-08
2.0,24.704579052651155,3.5374640154564914e-12,0.0,0.9999999916182452,5.12795279245985e-10,7.865421408872726e-09
2.0,24.403791664976197,8.616293667817436e-11,0.0,0.9999503972795684,2.640366445269928e-07,4.933859762359189e-05
4.0,14.312621046725594,7.36510403990798e-08,0.0,0.5080113712447015,0.0007362469499116711,0.4912523081543459
4.0,13.711301081934302,9.552830713043388e-09,0.0,0.34581467554382594,0.00017995595111969844,0.6540053589522232
4.0,14.358997349486907,2.8907930058520574e-09,0.0,0.2951803364307085,6.162053252761719e-05,0.7047580401459703
4.0,16.695952968028536,5.512509670727169e-11,0.0,0.26410474958542596,3.95266782950885e-05,0.7358557236811532
4.0,11.428473858241514,1.6286618684698345e-12,0.0,0.0019590204575379504,1.1503105034089124e-05,0.9980294764357985
4.0,14.762904667571673,9.065585369649727e-14,0.0,5.603120256544259e-10,4.5349963192880505e-07,0.9999995459399645
4.0,15.450916051461721,4.154376616676529e-14,0.0,0.0007684367342189175,6.438327154614823e-05,0.9991671799941925
4.0,15.643163691853045,1.3148906732650888e-11,0.0,0.00041540934288309333,2.317629491721549e-05,0.9995614143490499
4.0,15.765469715604072,2.0715007831765297e-11,0.0,0.0019588661407106203,3.135038589051247e-05,0.9980097834526831
4.0,15.238807353391808,3.8097094524548875e-11,0.0,0.022175554226077383,6.291160630523888e-05,0.9777615341295196
4.0,16.76231813841939,4.53559383009589e-12,0.0,0.2797055768976986,0.00011324885064888469,0.7201811742471163
4.0,13.059268019096436,9.04424091604831e-10,0.0,0.2508306878245518,1.3197615614439806e-05,0.749156113655409
4.0,14.176939336405301,9.523000593593637e-10,0.0,0.26846873627442924,0.00012200796048458886,0.7314092548127854
