k_0,k_1,k_2,k_3,k_4,log,zhat
12.116778247173471,-60033.07364940134,25.40061451348241,14.564686205496622,14.37546617263061,25.400652181064086,2.0
12.116778247173471,-60033.07364940134,25.40061451348241,14.564686205496622,14.37546617263061,25.400652181064086,2.0
8.575294540324997,-60038.33802290764,21.9605721693239,12.425492187204263,13.12030326869221,21.960790738412257,2.0
11.713618165963712,-60038.11381232777,23.174272189476312,13.971904982349123,12.145662527129339,23.174399749102193,2.0
13.869314912140183,-60034.52366999665,24.94425725364089,15.566898728185043,14.081761124989768,24.944376524374583,2.0
13.180602482315718,-60034.482752360855,25.978096628682675,15.24273607875436,14.325791695587908,25.978129856475213,2.0
10.2733311414514,-60032.49227956902,22.646317701694464,13.412488792536585,14.341273625316248,22.64666681707144,2.0
10.2733311414514,-60032.49227956902,22.646317701694464,13.412488792536585,14.341273625316248,22.64666681707144,2.0
13.21955159271777,-60030.20517675227,24.18882481493714,14.677403679243081,13.932952179386561,24.188951182076437,2.0
13.003200676938874,-60045.005869102024,23.772704570163175,14.427225556880586,12.882588389771499,23.77283159434229,2.0
13.003200676938874,-60045.005869102024,23.772704570163175,14.427225556880586,12.882588389771499,23.77283159434229,2.0
10.791028211835599,-60035.112422936196,21.712382912258498,13.508569206997034,13.507425019215479,21.712947724318926,2.0
11.791151126803902,-60035.564538997314,21.29839503202141,13.290032623811122,12.87748963245028,21.2990220312149,2.0
12.742508478593113,-60038.93627083934,22.510553718761642,14.244385234980552,13.967016691416791,22.511062709756196,2.0
10.754704142513893,-60038.72198964668,22.157711413150324,13.415087777063427,13.578194464224005,22.158070060939593,2.0
10.836039436446011,-60036.859704634604,22.51064941099357,13.459909909139828,13.705568724110423,22.510925153516467,2.0
12.859708366051603,-60036.454375454334,26.128155273518296,14.701013133370317,13.757887674521397,26.12817214013216,2.0
10.270080013290398,-60036.12720838383,22.884629262508497,13.919262771417666,15.680578123578892,22.885503529733615,2.0
10.270080013290398,-60036.12720838383,22.884629262508497,13.919262771417666,15.680578123578892,22.885503529733615,2.0
11.48750838326083,-60036.973923716076,24.908369120674937,14.15391767258534,14.399098615072552,24.908419235793154,2.0
12.568963754625427,-60036.965275857685,24.329660819453455,14.852179690033376,14.563364506211093,24.329802523699804,2.0
12.380365587185825,-60033.05668643412,23.535666887891605,14.723530932097535,14.22421395058177,23.535920452991462,2.0
12.088891123063647,-60042.22085592239,21.474262198534774,13.356169903769235,11.426533735283005,21.47468743199265,2.0
12.088891123063647,-60042.22085592239,21.474262198534774,13.356169903769235,11.426533735283005,21.47468743199265,2.0
13.964746967281753,-60044.85700327658,22.80961855796987,14.931115102073028,13.309588613711577,22.810216147434495,2.0
12.57057108263066,-60044.45702372185,24.61481562556626,14.551273449855303,13.426803808774665,24.614877945888512,2.0
14.552931621816054,-60045.11100323296,21.481830629322,14.931781888400273,12.47254847806309,21.484358824465122,2.0
11.006143706168409,-60044.79151696963,23.83065532189775,14.25257485214303,14.605671066671796,23.83082577728409,2.0
